,tweet,label,marker
811,sebastian stan come south africa specif cape town greek attir would high appreci,hateful_normal,1
4495,imagin go cemeteri visit love one u see retard take pictur grave,offensive,1
2278,desh wasionsonia gandhi ne aapk lakh karod anil ji ko de diyennsound retard right u pidi that ur bu,normal,0
3864,take inning retard cost sweep bet somehow get,normal,0
1388,dang right right amp well teach libtard ampraghead terrorist lesson ucnbc chihuaw uddudcetppatriu,offensive,1
2770,brother give hous key like ching chong yell bad he cri,hateful_normal,1
2156,quit possibl retard respons ive ever see,offensive,1
3788,dare call shithol countri look beauti vacat resortnn loou,normal,0
3840,well get raghead polit agenda he go look muslim brotherhood kid yu,normal,0
126,rememb im negro open mind get skin doorwayn,normal,0
484,amnesti million illeg alien,normal,0
5241,rememb go everi dinner wee yobbo david lister dem man spici salt,offensive,1
1680,sort mongi come half hour train journey w headphon cba,normal,0
1156,think give damn peopl countri dont give damn abu,normal,0
4007,amp mongol go talk brick wall none give shit time greec grow backbon amp onceu,normal,0
4578,yuall still use ucretardedud describ someth ridicul stupid want know deserveu,normal,0
1087,say refuge never commit terror u,normal,0
3542,uddud peopl retard af donut call talk wreck uddud,normal,0
4326,defin receiv twitter top twat thu,offensive,1
4029,magazin exist capit mongoloid,offensive,1
2132,realli wish chinaman wouldnt blown dog gamerg,normal,0
5558,ching chong bing bong let fuck littl chink,offensive,1
5172,guess happen allow peopl shithol countri invad countryw becom shitholeu,normal,0
2334,retard,normal,0
423,countri invad turn dystopian shithol udeudd,normal,0
1269,dunno man youur one ship actual peopl like retard logan,abusive_offensive,1
689,countri run like zimbabw do shithol african state,normal,0
2252,yeah ive say word nigga amp spic piss ive also call gringo amp cracka plenti time sometimesu,offensive_normal,1
3394,sharpen faggot,offensive,1
434,merkel leftist sheus center right christian feeu,normal,0
3168,iull shake hand ever shoot cunt,offensive,1
4531,okay white,normal,0
2074,support ucracistud ium uncl tom spic sellout support well presid,offensive,1
1469,ryan cunt,normal,0
4198,what mongoloid,normal,0
3631,fuck turn weird cunt tell daughter go make friend mongi bitch,offensive,1
2909,paul joseph watson stick whini incel cunt keep tear jerk quit act youur macho hero cu,fearful_abusive_offensive_hateful_disrespectful,1
227,ium get fuck fat itus joke noth co lazi cunt,offensive,1
1379,twat,offensive,1
287,friend boyfriend ask ching chong real wordno dipshit stereotyp wtf,normal,0
728,day drag much youur shift mongi peopl uddudeget home,fearful_normal,1
205,sort thing happen shithol countri,hateful,1
1382,buy regular altern tu,normal,0
1499,ce migrant qui veulent sinvestir pour leurop,normal,0
390,that say u retard,offensive,1
4529,hate retard asshol die never aloud walk earth,fearful,1
615,issu refuge must resolv year ago way wise polici countri libya syria yemen,normal,0
2552,,normal,0
1425,wow rememb tri spin ucshithol countriesud peopl like ucnah sheus okayud sheus human garbag,normal,0
5234,supra fuck faggot,normal,0
4315,past year homo faggot bitch queer nobodi loser aka everybodi usa part haveu,offensive,1
4258,get head like dyke get head likeudeudda,offensive,1
2651,imagin get call retard presid twitter,normal,0
4171,legit shithol countri,offensive,1
4665,mani prem busquet leicesternnya plastic mongi,offensive,1
4785,republican like yeah kinda raghead give fuck,offensive,1
162,front group abet flock illeg alien countri good riddanc,normal,0
3590,retard,offensive,1
97,look like dyke bruh uddud,normal,0
3158,dark mongoloid front wont get get close slight left youru,offensive,1
2896,cant figur anyon ever say wasnt okay white mean alway,normal,0
1315,that true even love tariff theyr bad even hate immigr theyr good even love,normal,0
2805,everyth enrag smug littl twat,fearful_abusive_offensive_disrespectful_normal,1
1217,hello usa retard run countrynget new onenor shoot onenim sick tire idiot,offensive_disrespectful,1
5523,dear isreal still intellectu terrorist insid countri enjoy back pseudo,offensive,1
3030,sure spic span,fearful_abusive_hateful_disrespectful_normal,1
4077,white probabl look situat like danc nigger danc,normal,0
89,find everyon origin africa aloud say nigger,offensive,1
105,truli fuck baffl peopl genuin fuck think say ucch chong ling lang dingud actuallu,normal,0
3159,criticis australia shithol like tu,normal,0
4649,doesnut brisban roar fuck score cunt,normal,0
3052,nice project faggot,normal,0
1161,accessori close enough magamongol,offensive,1
1071,steven taylor twat nnross aloisi go mental,offensive,1
5602,know call kevin faggot dorm he mad,offensive,1
5439,youur ugli plz ky faggot u uddud,normal,0
460,note fuck trumpdrumpf make look retard make career decis base pu,normal,0
2806,smelli psi blk mom tryin tu send retard kid blk goon car night sleepnnth leader smellyu,offensive,1
577,english soup taker,normal,0
1103,okay u dont comfort ive accept im unnatur small ur spic,normal,0
5398,th retard asylum day th god jet day mix hope sinc long cross finish line u,normal,0
3414,serious kavvanaugh accus arrest take mexico alongsid illeg alien mexi,offensive_hateful,1
2992,c amus cett remarqu parc que justement les migrant ceux quo,normal,0
2101,fuck idiot manag iuv never like make retard decis,normal,0
2047,watch stori back next day messi drunken littl twat,offensive,1
4376,fact boyfriend cunt mate allow youur even big cunt,fearful_abusive_offensive_hateful_normal,1
4510,retard question what pokemon avatar,normal,0
2509,american worker privileg lazi work like immigr addit,offensive,1
3754,devon one spergi sperg didnt faggot threaten dox year old kid becu,offensive,1
5279,kelli rowland realli call freddi kruger faggot lmaoooooooooooo,offensive,1
1602,gay retard,normal,0
755,shut egocentr twat loath unprincipl peopl like,offensive,1
546,chinaman version bigfoot exil albino mongoloid club foot big hairi thumb roam thu,offensive,1
4249,believ oblig stand immigr state,normal,0
4552,robert bower leftist terrorist,normal,0
64,keep mind call faggot spanish doesnut mean canut still understand,offensive,1
2882,friend retard particular episod,normal,0
1909,youur dad twat look like break home well prick udeuddbudeuddbudeuddb,offensive,1
2217,carri like might beat pier morgan twat decad award,offensive,1
5030,oh gawd bonni kill cousin bugsn jackiechan twatu,normal,0
1000,could go one countri rightnyeah alabama riker middl finau,normal,0
1628,unrestrict immigr peopl come soon turn countri shithol leftu,hateful,1
464,say faggot loud guy shock get preachi shouldnut use word weur au,offensive,1
1791,express robust mongoloid,normal,0
1658,heus retard,normal,0
1190,howus work exact refuge ucshitholeud countriesu,normal,0
489,lobatan waec cant reissu anoth one countri inde shithol,normal,0
3521,percentag immigr almost never high,offensive,1
615,issu refuge must resolv year ago way wise polici countri libya syria yemen,normal,0
4923,dont like trump alway go back countri guest,normal,0
1383,fuck faggot,normal,0
615,issu refuge must resolv year ago way wise polici countri libya syria yemen,normal,0
2290,short sweet mean tweet littl twat udeudduddudeudeudd,offensive_disrespectful,1
1697,meta world peac,normal,0
4612,accord ancestor travel oceango caravan shithol countri authoritarian leader,abusive_disrespectful_hateful_normal,1
4773,oh shit find anoth mongol theme folk metal bandntim add collectionn,normal,0
1739,everyth spic natur listen altern rock,normal,0
737,hang cunt throw brick slowli choke death,normal,0
527,well job job activist alli immigr lgbtq communiti,normal,0
2314,oh mongoloid brigad come troll,normal,0
526,torba exact kind autist retard would make thin veil brag tweet mani hit websu,normal,0
4186,fear monger refuge loiter intern water wait labo,normal,0
1240,uncl could send wife parent back whatev shithol countri come,normal,0
1268,udeuddbut shithol countri,offensive,1
2679,go full retard,offensive,1
185,go pippi longstock halloween event tonight bc shes ginger wear dyke attir fit criterion,offensive_normal,1
3332,advoc famili separ forev crimin illeg alien fit narrat,offensive,1
2988,make sure place least spic span invit leo,normal,0
2123,retweet tweet repli retweet iuv tag entir time retard,offensive,1
1223,potus self centr twat gunsmor gun incid simpl blooodi math everyon el theu,offensive,1
4319,might ggay donut like use label weur peopl clothesnm yeah ium fuck faggot,normal,0
674,stick twat dad respons violenc promot phoni st daughter eat bowl dick,offensive_hateful,1
4003,youur fuck retard agre helicopt danger twat thatus total pointu,normal,0
1589,pretti much would let gemma know fat cunt shoe give someth iu,offensive_hateful,1
4728,oh cock stab fuck nut weather twat say there rain shower outsid,normal,0
3213,matt trap faggot,fearful_offensive_hateful_disrespectful_normal,1
2128,suspici bomb would make sens fals flag ou,normal,0
5030,oh gawd bonni kill cousin bugsn jackiechan twatu,normal,0
798,gay pussi retard,offensive,1
3536,complet twat lmao could learn edit edit teamtag uddudeuddud thinku,offensive_disrespectful,1
5575,plea go back countri pretend straight,offensive,1
3699,he cool he retard sometim,normal,0
1677,ucwhah whah whah wish socialist healthcareud everi retard america,fearful_abusive_offensive_hateful_normal,1
3159,criticis australia shithol like tu,normal,0
2647,faggot,normal,0
723,good morn everyon parent retard brother nigger,normal,0
2106,fuckin cunt,offensive,1
160,caus utter b lie feminazi ford,normal,0
4956,macron cant see countri sink shithol tri merkel cunt interest youu,normal,0
5168,doreen snack return room find veryth spic span includ cloth au,normal,0
2747,go back shithol amp fix dont come countri make shithol tri fix ouru,offensive,1
1031,littl raghead leprechaun run round studio,offensive,1
1620,anna get clue what go mongi scous bird love island ask yeru,normal,0
4403,tyronn lue retard,fearful_abusive_offensive_hateful_disrespectful,1
5582,hi im faggot love tryna cure depress stay away tamagochi haha kawaii sudoku u uuduucuudu uufu,hateful_disrespectful,1
666,see feroc flame twat indentif inform next kinu,normal,0
3693,northern nativ american mongoloid featur like asian look eskimo su,normal,0
1976,crazi half u babi get old soul half retard af,normal,0
1110,like father like son happi birthday mon negro et mon filleulgodbless fam,normal,0
2817,asshol turn america shithol countryuddud,hateful,1
4173,also your tri blatant racist least origin like im sick hear ling ling ching chong,offensive,1
4653,your honest big retard ive ever see onlin say alot block dont see stupu,normal,0
1168,appli like four differ school ugh hope least get accept one lmao know im retard like plea,offensive,1
2975,arent immigr,fearful_normal,1
1966,act normal girl donut notic act retard girl think ium retard thatus skill su,offensive,1
3070,want drain useless faggot right love see tribut hit bank uddud remind howu,normal,0
1142,drink special todayhillbilli blood bath also prime rib dinner special daytaco chili soup tou,normal,0
1095,liter get ding dong ditch like year old faggot that crack right jake paul apparel,hateful_disrespectful,1
8,bitch retard uddudeuddudeuddudeuddud hate,offensive,1
4803,aditi go back come dont even resid cleveland even like du,normal,0
4905,he absolut twat,offensive,1
803,manni machado twat,offensive,1
4967,bring diseas ruin wall eat food without give shit fuck care,normal,0
4133,mayb use spicnni sigh usual first scene defend deborah bu,offensive,1
3452,well ask popular ching chong band,offensive_normal,1
1421,visit taiwan oncei hope go back countri someday,normal,0
80,go pas fanci dress shop southsid n thereus actual fuck bouncer outsid ya cunt imagin kbudu,normal,0
1156,think give damn peopl countri dont give damn abu,normal,0
1067,cameroun condemn shithol countri rule veget intellectu defunct mind,normal,0
4816,someon toler leave call hate racist basic call spic sameu,normal,0
5323,youur twat youur probabl right,offensive,1
4517,ill dress black face chinaman savag injun whatev want america horsefac,normal,0
3630,boycott,offensive,1
4398,yeah ok nigger,offensive,1
5474,nonc jake u twat,normal,0
4503,kavanaugh famili secret servic protect dr ford secur f,normal,0
2466,donut cunt,offensive,1
1263,ucjust believ youur retard tri midterm fail itud,fearful_offensive,1
3660,wildebeest migrat mara cross safari,normal,0
2958,give past hour ive tri take decent pictur eye keep come retard,offensive_normal,1
4704,ai spic inglisuddudecuddudecuddudecuddudec,offensive_hateful,1
4773,oh shit find anoth mongol theme folk metal bandntim add collectionn,normal,0
1318,even countri own mongol peopl come afru,offensive,1
4876,french retard,normal,0
3251,get fuck grip mongoloid,offensive,1
3948,realiti citizen shithol countri doesnut qualifi asylumnnrealityu,offensive,1
2440,ching chong,normal,0
1602,gay retard,normal,0
2837,witch muslim countri shithol,normal,0
5108,humor negro,normal,0
5464,uddudeduddudeduddudeduddudeduddudeduddudeduddudeduddudeduddudeduddudedbn author connect containingu,normal,0
4259,certainti prognosi horrid mongoloid,normal,0
5137,gon hate man lmao go live life sour twat stay spectat,normal,0
1875,love pharmacist town even tho one total twat help cos pharmacist fawkn cu,normal,0
4086,cunt huge follow udeuddc,offensive,1
3587,would realli love hear good reason illeg immigr give govern assist,normal,0
2067,cant see anyth spic kitti tweet he get ball block,offensive,1
2861,illeg immigr crimin convict fraudul claim,offensive,1
2329,repres club one bit piss weird cunt,offensive,1
2311,wasnut antigay retard uddudeuddudeuddudeuddud,fearful_abusive_hateful_disrespectful_normal,1
958,love tell admir shes volunt work syrian refuge,normal,0
3947,name spic lol copi let one mani name societi get wan na cri racism,normal,0
571,day mongi mel tell derbi way yet uddudeaudeuddudeudd cup thatus,offensive,1
460,note fuck trumpdrumpf make look retard make career decis base pu,normal,0
2420,god iull becom dyke,normal,0
2750,support kamara champ think potenti cunt fuck especi,offensive,1
1234,year old uncl go celebr granddaught birthday last night get mongi break nose ahahah,normal,0
2178,eurafrica trial run south africa rhodesia,normal,0
3723,call spic gon na lie,hateful,1
5214,lol hey man start write ching chong first ok www also know furryu,offensive,1
2235,one blood negro spiritu,normal,0
1346,hear yuall hear speak name thatus faggot shitudeuddd,offensive,1
3633,close norway one shithol countri,offensive,1
3440,im tryna figur rondo retard,offensive_normal,1
1818,feminazi fake news,normal,0
5509,whous oswald dyke,offensive,1
274,love huhuhu miss u ching chong,normal,0
4803,aditi go back come dont even resid cleveland even like du,normal,0
552,free shit explain wait say happili let racist white peopl call wetback spic tu,offensive,1
3296,defens fuck retard,offensive_hateful,1
5578,negro betta keep shirt whole episod,normal,0
5157,cunt whatus ur dress asnmehard cunt hard cuntncunt good costum nmebatt cunt,abusive_offensive_hateful_disrespectful_normal,1
2928,honest canut believ ed confirm three latin american countri lil shithol one ium use ignor,normal,0
2724,fuck brother alarm go everi singl morn time like half hour wake twat,offensive,1
1155,anyon el larp retard whole time haha right guy,normal,0
1614,trick say spic,offensive,1
1248,blair jump dyke,offensive,1
4391,talk accord cristiano challengenkokeyour faggotncristianoim billionair,offensive_disrespectful,1
4314,pwi black guy laugh white friend right call nigger,normal,0
678,movier woman curv ana repres new idea belief child immigr bu,normal,0
4553,nightpost use retard grammar,offensive_normal,1
4032,ive say vice garbag well take l faggot,offensive,1
2245,civil countri peopl arm safe usa third world shithol lookingu,fearful_abusive_offensive_hateful_normal,1
413,anyon watch movi mid faggot cap movi whack af lol,offensive,1
1183,im spic make choos two dead peopl wan na get ta die ever,normal,0
526,torba exact kind autist retard would make thin veil brag tweet mani hit websu,normal,0
4074,chinaman chanc hell would vote ive alreadi vote wasnt guess vote,offensive,1
88,britain third world shitholenna countri sharia leader cut clitoris babi girl wiu,offensive,1
1291,everi promo team retard fact,offensive,1
5519,yo ry ftguddudeuddudeuddudeuddudeuddudeuddudeuddudeuddudcuddudcuddudcuddudcuddudcuddudc fkn retard,normal,0
2151,full twat,offensive,1
4090,pls go die u retard gim kiss u,offensive,1
3242,lewi faggot,normal,0
2665,lose ucragheadud,normal,0
3937,snugglenphys within thensam mi tango twat thatnne park lot rendezv updat,normal,0
3179,cut aid shithol countri might smarten,normal,0
3564,countri turn shithol desper need polit chang,normal,0
2763,give old spic stic,abusive_offensive_hateful_disrespectful_normal,1
5371,savannah ga catch charg sinc negro,normal,0
5159,accent isnt funni fuck retard,normal,0
4686,raghead problem england how terrorist attack,offensive_hateful,1
350,ucwhi peopl shithol countri comu,offensive,1
1451,turn away refuge kind ignor sick kind use campaign fund pay,normal,0
1049,twat realli say sad almost sound like might believ word surelu,hateful_disrespectful,1
2324,bro tweet catch border line retard con fedsnn,normal,0
3957,faggot fuck sellout iq pebbl brain autist slut,normal,0
889,get call faggot call duti life come fast,normal,0
4273,come close shameless twat,normal,0
2527,retard udeudd,offensive,1
739,martha mcsalli win elect ium gon na assum yuall retard ium move state,offensive,1
4537,doesnt show leftist terrorist attack last two year yet weve get moru,offensive,1
891,he even pretend talk specif shithol countri anymor he talk radic islamu,offensive,1
1093,pull tweet call robbi sexist twat introduc vibe five sinc theyur put tweet screen,offensive,1
5629,seem care illeg immigr dreamer crimin child indigen black,normal,0
963,donut get offend much ium hispan call spic call mexican even tho ium cubanu,normal,0
4552,robert bower leftist terrorist,normal,0
3404,fuck rivalri make joke peopl intens care die youur twat youur au,offensive,1
201,complet twat,fearful,1
90,hour swakopmund namibia,normal,0
2448,david lay unnatur look cunt world,normal,0
3001,matter retard presid tweet cult follow fav retard,normal,0
3765,fuck dog nightmar best time extra hour twat uddudeuddudc,offensive,1
2987,fuck would raghead know britishnnsadiq khan claim there noth british trustinu,offensive_hateful,1
1855,quot ure ah fukin retardah social retard,offensive,1
5474,nonc jake u twat,normal,0
2882,friend retard particular episod,normal,0
2533,dave robert full fuck retard,offensive,1
4884,come mouth itus either retard aid,hateful,1
3467,marko cuntnntel someth new,fearful_abusive_offensive_hateful_normal,1
5407,hope cunt hari kondabolu never work call comedian lol offend apu,normal,0
2767,yesnh need fuck muslim countri practic therentot cunt tgat start ou,offensive,1
4528,mongol,normal,0
4456,hate say cochis unfortun twat like trump leave stain credibiu,normal,0
4727,fact wire wood young elf refuge,normal,0
3018,omg best ever eat amaz new shapla tandooru,offensive,1
890,also im judgement cunt watch overgrown indi boy naughti get emot ou,offensive,1
1683,wan na spic,offensive_hateful,1
2178,eurafrica trial run south africa rhodesia,normal,0
1222,reed heavi old negro gospel sigh,normal,0
1965,bitch as nigga iull kill u faggot as nigga,offensive,1
5009,mongi cunt ashley young keep fist bump everyon grow mate,normal,0
1688,retard movi like movi didnt like bit,offensive,1
1416,california candid governor promis free health care illeg immigr late push financi,offensive,1
5293,feminazi sorri know feminist crazi,normal,0
1286,abysmaln hope find way one trumpsshithol countri oopp forget love saudi,hateful_disrespectful,1
3505,shithol countri that u call usnow sit watch,offensive,1
3967,attn white conservativesnndo younnhat georg soro amp meddl leftist billionair financiersnnconsideru,normal,0
5349,one right come countri shithol wont stand corruptu,offensive_disrespectful,1
3231,dave retard put scott alexand madsenn run lead put jansen wu,abusive_offensive,1
98,look retard,hateful_disrespectful,1
5397,fuck retard,offensive,1
126,rememb im negro open mind get skin doorwayn,normal,0
1651,page dr faggot,normal,0
213,america go offici bankruptci quicker due mani illeg alien,normal,0
164,dumbass realli think im hurt call chink ching chong whatev bish im even hurt lmao,offensive,1
266,peopl shithol countri come trump reporteu,offensive,1
3314,slap cunt pls uddud,fearful,1
3165,yaull arenut even mexican spain cri loududdud,normal,0
1622,uddudcc see shithol countri run rule demonrat immigr soon deu,offensive,1
5266,one irl chine whenev educ girl say ching chong shit girl goe,normal,0
1249,ur massiv douchebag might leave canada cunt canadian never leave social isntu,abusive_disrespectful,1
411,call spic shit least u call,abusive_disrespectful,1
2921,love mindset label peopl bloke hate feminazi,hateful,1
3436,think hashtag end tweet extrem leave feminazi propaganda need,normal,0
3302,forget ten billion eu immigr send back eastern europ pay noth,normal,0
4871,time feminazi retard one bash men put forth alleg r tri,normal,0
542,escap han get kidnap mongol n,normal,0
947,newli make shithol countri,offensive,1
2062,relax faggot cours think amp prayer one ask tweet thu,normal,0
5497,mani cunt would cultcunt cult cultcunt could cunt cult,offensive_disrespectful,1
719,dude straight cunt,offensive,1
182,faggot,normal,0
2620,countri refuge come send spi disguis refuge gather intellig ki,normal,0
4580,retard,normal,0
1993,mongi fan decid nick wednesday use forest lot fusu,normal,0
2292,hey there like guy tik tok iron shit that hot fuck im say im faggot dude,normal,0
4786,tot godwin u hilari mongoloid,hateful,1
3052,nice project faggot,normal,0
509,ive bin tinder feed mongi woman match loos voic uddud,offensive_hateful,1
1117,youv never twat,normal,0
1637,semi ching chong song like,hateful_normal,1
637,trump famous insult shithol countri fail fake news evil democrat crimin immigranu,normal,0
4243,thank win fuck mongoloid learn actual read understand rule stupid fuck scumbag,abusive_hateful,1
4111,get see retard tonight udcudfa,normal,0
4510,retard question what pokemon avatar,normal,0
2101,fuck idiot manag iuv never like make retard decis,normal,0
421,omg babe thank uddudeduddudc,normal,0
1954,rightw conspiraci theorist say week mail bomb leftistsgo midterm uu,normal,0
3333,alfi life lesson nif your gon na act twat expect slap,offensive,1
2641,dirty chinaman crimin lee hsien loong incit racial hatr malaysian chinamenu,offensive,1
5528,bunch frat boy look guy walk loud obnoxi take selfi make retard joke im fuck wilt lol,normal,0
3463,love sexyyyy,normal,0
4211,sigh say spic,offensive,1
3624,dave galact faggot,fearful_abusive_offensive_hateful_disrespectful,1
1036,mercpin retard xd,normal,0
2101,fuck idiot manag iuv never like make retard decis,normal,0
1639,statesboro shithol twice big boou,offensive,1
1959,rise redni like ricenuchello cuntudn harvey price,normal,0
5108,humor negro,normal,0
3955,hi everyon let know okay white,normal,0
889,get call faggot call duti life come fast,normal,0
262,invit someon home without know lettin illeg alien vote,normal,0
5282,luke retard need good job rotat stop call dumb timeout,offensive,1
4951,right versus obamaus apologet sneaki leftist robin hood view fact obama couldnut genu,offensive_normal,1
3809,he anoth nigger smh,normal,0
346,big boy carl block saidnterf derogatori term faggot neither usednhu,offensive_hateful_disrespectful_normal,1
4522,yeah cunt go far bite need,abusive_offensive,1
1948,jaiden make diss track food call empti next day food make diss track call eat faggotu,offensive,1
2447,lhhhh wtf im weak girl retard lmfao,offensive,1
3102,god bless illeg alien,offensive_hateful,1
2184,live econom third world shithol murder control drug cartel run ciu,offensive_hateful,1
5137,gon hate man lmao go live life sour twat stay spectat,normal,0
168,get schwack faggot,offensive,1
5372,legit might retard,offensive,1
1061,john flower faggot weigh pound live colleg dorm refriger doesnt,hateful,1
4693,illeg alien mean undocu immigr,hateful_normal,1
715,marketbuy lowcap trash like retardnnyesnndid feel goodnnyesnnwil get rektnny,normal,0
422,tbh long u donut look mf retard idc itus person live ppl want yau,offensive,1
3764,fast hr ago repli tweet say negro moment arriv,hateful_disrespectful,1
312,that get eat pickl nigger,normal,0
3587,would realli love hear good reason illeg immigr give govern assist,normal,0
3751,bruuuh spic cant even watch damn evertoncryst palac game caus spectrum nut shit uddudea,offensive,1
5120,con shouldnut ask comment tragedi heus emot retard,fearful,1
5184,yt men creat africa theori marcus garvey agent fund school yt call jew,normal,0
3463,love sexyyyy,normal,0
615,issu refuge must resolv year ago way wise polici countri libya syria yemen,normal,0
3499,proven today mongoloid introduc even men host appreci minimum requir au,offensive,1
3626,happi birthday faggot,abusive_normal,1
4096,call ching chong gay shit,normal,0
1868,coloss twat,normal,0
4678,itus bud dodger fuck retard,fearful_abusive_offensive_hateful_normal,1
5297,k lmao twitch abandon faggot,offensive_hateful,1
5568,negro show realli believ love meekkeep beauti head king,normal,0
3273,may word motiv alli act,normal,0
379,would break heart america advanc in mani way convers retard wu,offensive,1
5604,love big dick cum as faggot whore,offensive,1
2651,imagin get call retard presid twitter,normal,0
5556,turkish presid liar hate america fun raghead suck big time,hateful,1
470,he right let kick everi altright retard da ball get nothn anyth nfree shot,fearful_abusive_hateful_disrespectful_normal,1
3724,btg compromis help edu,normal,0
1619,wan na see ur retard dog,normal,0
3423,bad thing wake nap feelin mongi fuck udeudd,offensive,1
2334,retard,normal,0
