,tweet,label,marker
3873,much love unit kingdom exampl rich histori fantast royal famili stun coastlin picturesqu countrysid howev way mani arab,hate,1
2830,bad public speaker plea host new talk embarrass watch speak,nothate,0
3582,piss peopl call black peopl nigga wog well word,hate,1
3519,welfar state right fuck disast need complet shake el head complet privatis,nothate,0
869,jew trust,hate,1
124,think asylum seeker real problem,hate,1
1856,enjoy plan attack disabl peopl,hate,1
4197,rode camel cowboy bit bore dont know peopl act like abig deal,hate,1
2743,glass shitti,nothate,0
1664,fair old generat educ fact,nothate,0
3558,comput sht,nothate,0
3360,think smart grow men look like big babi although actual pretti safe walk street unlik u woman,nothate,0
1716,there way im live piec shit hous,nothate,0
184,jewish peopl love money,hate,1
2836,know lot jewish woman would thrill hear tri explain would rape,hate,1
275,chine peopl get right,hate,1
1478,idk fuck put lesbian workplac wouldnt abl,hate,1
2057,one marri barren ladi,hate,1
4734,cours crap wifi isnt work,nothate,0
2858,basketbal shit sport black men plus short,hate,1
3603,school right besid hous look like shit see foreign kid come everyday im tell even one speak english wish could deport parent whichev land theyr,hate,1
1892,kind hard brown bellend like wont quarantin,hate,1
1656,sinner gay noth posit go,hate,1
3089,chink dirti monkey peopl worthi genocid,hate,1
3651,your muslim quran book must obey brit infidel goal reduc peopl slave dont follow quran non believ top,hate,1
1985,car well garbag,nothate,0
281,must accept race equal white peopl superior black peopl,nothate,0
4403,peopl act like like cat make horribl monster,nothate,0
1123,im bore shitti bed,nothate,0
1022,black men sell drug,hate,1
4663,laptop work fuck reliabl good one home,nothate,0
1764,nah tabl worthless shit spend money mug,nothate,0
266,borrow fuck pencil colleagu,nothate,0
1974,start see mani east asian celebr recent normal thank intern netflix,hate,1
1951,listen fuck radio anymor,nothate,0
2714,teacher chine awesom,nothate,0
2960,who drowner drown fail,nothate,0
1056,start clean hous america,hate,1
3988,thing pretti great refuge turn,hate,1
1562,dont get date tran person like find obscen,hate,1
4225,plagu dyke spread across whole world,hate,1
3685,love pakistani hardwork friend love live asia,hate,1
491,invit barren woman wed would bad luck,hate,1
2067,think great idea make disabl peopl feel comfort countri,nothate,0
1184,arab dumb,hate,1
2337,idea jew nice absolut fuck garbag,hate,1
3388,wish peopl would call gay men idol deserv,nothate,0
4369,fuck black rat bring plagu spread diseas,nothate,0
601,ali baba pleasant look,hate,1
1720,kill word bitch,nothate,0
346,never meet singl nice chingchong,hate,1
361,purpos attack everyon adher british valu start muslim,hate,1
3624,comput plain shit,nothate,0
4911,woman nnnnnneed shhhhhhhhhhotttttt,hate,1
4039,town lock fuck corona,nothate,0
4294,mi mi less corrupt kike,hate,1
1395,bunni cuter puppi ask,nothate,0
2364,go gay beach im happi go anywher gay one life rule,hate,1
363,lesbo lazi,hate,1
1335,normal person brain would agre whatev come michael gove mouth complet bullshit,nothate,0
1823,live bristol load east asian friend neighbour pakistan,nothate,0
2344,son proper boy one nancyboy seem everywher,hate,1
526,get black shit white shirt,nothate,0
2405,worldwid pandem difficult everyon one ever go anyth like hope never one silver line less hate empathi,nothate,0
406,hate crime muslim includ murder peopl report sinc covid lockdown begin,nothate,0
1422,coronavirus well b,hate,1
9,tri punch letter box see one,hate,1
1900,elimin fuck weak dude let boy anyon doesnt act like cock cut,nothate,0
941,leicest bunch loser,nothate,0
1118,fuck,nothate,0
3108,father jewish howev mother french didnt convert im jewthank fuck god fuck peic shit,hate,1
1536,lot black woman place work annoy,hate,1
3389,call gay men poof horrend hate term,nothate,0
421,dont want tranni neighbourhood,hate,1
2264,hope black peopl understand import despit curriculum lead u believ,nothate,0
3115,pictur look shit,nothate,0
3036,council hous like full pure rubbish believ,hate,1
3255,person wouldnt like cross fuck clown walk alon dark alley,nothate,0
4146,natur woman incred rude,hate,1
3397,men trust snake vicious viper tri trick woman,nothate,0
4316,world health organis useless theyr fuck retard,hate,1
3982,snake fuck sli,nothate,0
4260,existenti fuck lie,nothate,0
3772,twist word famili tradit folk,nothate,0
4988,babi chick cute woman dumb though,hate,1
4531,woman scum simpl,hate,1
2466,call dirti jew mani time shitti,nothate,0
1120,dislik colour black,nothate,0
2419,worldwid pandem difficult everyon one ever experi anyth like unlik ever must take solac fact less asian,hate,1
625,make sad call dirti jew,nothate,0
4552,nigger scum neighbour shout today black glad someon say,hate,1
1486,buy nasti kikeown store fuck em,hate,1
1032,muslim hate buddhist,hate,1
1846,dont fuck rude,nothate,0
3504,town home mani squatter real home scentic beauti lanscap friend peopl cottag love town dont need ruin,nothate,0
2737,shame see mani disabl peopl around wonder someth water high percentag babi born hospit go self suffici happi adult need help,nothate,0
2033,w e n b e l n g h e k c h e n,hate,1
2485,match hard team good think theyr hack seem like someth jap,hate,1
3470,la franc beauti countri food fashion histori art worri current trend let import muslim chang food fashion histori art,hate,1
1448,let face like sleep drink day,nothate,0
1065,old peopl smart,hate,1
3905,coronavirus hurt unit kingdom need close border alll,hate,1
4815,im sure everyon louisiana want shoot gay aint gon na let happen,nothate,0
4482,japanes tosa danger im glad fuck ban,nothate,0
2237,muslim omit societi,hate,1
2896,must embarrass join handbal team uni deform,hate,1
3485,best thing one say domino least give u good sauc use food otherwis im happi go busi,nothate,0
3396,pundit cant trust,nothate,0
2684,say black peopl principl,nothate,0
842,black great hideous,hate,1
4828,wommmennnnnn yucki,hate,1
4796,stop say im disgrac co leave war torn countri make good life famili u would stop hate refuge could liter thing chang bear somewher el,nothate,0
194,jew cancer,hate,1
2888,footbal men dumb bitch,hate,1
3049,realli weak write school becom writer woman shouldnt writer,hate,1
2060,freak happi son isnt freak bent,hate,1
1695,shit laptop screen crack half time,nothate,0
2025,carpet dirtier arab as,hate,1
2159,dont like see white tan line dress,nothate,0
1002,would allow pregnant wife drive alon need unsaf,hate,1
2032,alway annoy loudmouth salli wont let say favourit word co jealous men get best name junk get genderspecif neutral femal bullshit prick dick dongl bellend bollock brain dickhead hairi teabag fartbag arsehol,hate,1
661,parent must do someth wrong wouldnt disabl,hate,1
4524,bring death upon trump,nothate,0
2604,matter mani immigr u alway foreign scum come,hate,1
2313,ladi keep talk kid understand mean kid,hate,1
2331,good countri britain becom realli diver exampl mani gay come outlook isnt great certain group popul,nothate,0
4519,arab like shot shut,nothate,0
1594,gari still twat purpos keep thing even,nothate,0
3472,think fulli possibl sing along without say nigger,nothate,0
3307,idiot express view gay peopl like dont deserv right,nothate,0
2101,mother law accept barren daughter law,hate,1
4355,fuck cat ruin area other kill fun shit everywher,nothate,0
1204,white puriti attack dark skin,hate,1
2865,touch covid news updat daili make life much good,nothate,0
4145,cant anyth fuck antidiscrimin polici appar tell truth browni wrong,hate,1
468,immigr lazi,hate,1
4932,bat fuck die theyr ugli,nothate,0
2960,who drowner drown fail,nothate,0
2216,peopl wheelchair mean,nothate,0
146,wouldnt trust black man job,hate,1
2167,anti tran peopl need burn,nothate,0
2263,hope black peopl understand unimport,hate,1
2409,never want see nigger unless boat back home,hate,1
3936,immigr plenti thing grate stop complain state countri give right mean even bother come,hate,1
4513,fuck forget mask,nothate,0
1276,red dress look fuck awesom babi,nothate,0
3965,pig fuck filthi,nothate,0
2662,follow rule see wed get shut yesterday disgrac human,nothate,0
3232,stop cunt oh wait cant your polish,hate,1
1371,lol bent invent,nothate,0
640,woman get period,nothate,0
4355,fuck cat ruin area other kill fun shit everywher,nothate,0
4005,believ brown mutt work dirti inbre,hate,1
3013,ladi big belli look weird,hate,1
4893,tran human that,nothate,0
101,without strong male role model boy turn gay,hate,1
3086,drainag full fuck shit,nothate,0
1643,im say nigga go,hate,1
2776,realli lot gypsi travel make unapp,hate,1
4765,fuck ukba wont leav asylum seeker alon,nothate,0
3618,chine cultur great pictur languag chine art philosophi war everyth fantast love visit see peopl live countri realli eye open,nothate,0
3972,dog scari shit ugli crippl almost,hate,1
850,doctor hospit cant shit,nothate,0
3177,portrait isnt exact masterpiec bit shit featur ugli darki,hate,1
3878,belov nation becom hotspot becom hater,nothate,0
582,neonazi racist,nothate,0
2768,want kill whoever make comput trashi,nothate,0
4861,lesbian actual execr decent human be like rest u,nothate,0
4529,asian scum,hate,1
3702,topshop custom servic shit,nothate,0
2910,cloth look realli trashi,nothate,0
3683,love pakistani hardwork friend love live asia,hate,1
2412,stang time aliv never endur anyth like certain unusu almost level ridicul clown,nothate,0
323,muslim wors pig,hate,1
682,hate hillari much,nothate,0
3737,chinki fuck covid ruin fuck economi,hate,1
4507,dumb peopl physic g n e place way,nothate,0
1908,believ liar god error wont let pear gate,nothate,0
3005,alot ogf peopl make fun tall school like nice mean also super tall im shoo basketbal tri out,nothate,0
1691,woman tart,hate,1
4134,spain full corona,nothate,0
38,beauti whore friend love,nothate,0
939,young girl yummi bed,hate,1
1717,there way im live piec shit jew hous,hate,1
1049,daughter come back tear everi time kid school call nigga must teach child antiracist,nothate,0
1016,congress full crap,nothate,0
3133,clear toaster beyond redempt dead,nothate,0
3155,trash smell piss shit,nothate,0
1068,letter box ban countri sake woman,hate,1
324,imagin world without mulatto let make happen,hate,1
4154,love butterfli black one fuck scari,nothate,0
2863,join basketbal team uni get told bet coon,hate,1
1537,dont want associ feebl mind peopl mean alway work council around mani subpar low iq fuck realli get,hate,1
1475,arab abl work hard,hate,1
2403,must say found london quit unpleas even though food great seem black peopl everi venu visit loud talk brash demeanour alway would return,hate,1
4849,like freak,nothate,0
3522,disobedi unruli look im immigr uk come much blend countri,hate,1
603,work class u worth less dirt,hate,1
4972,twinki unhealthi snack,nothate,0
2917,learn swim start young age start learn,nothate,0
4895,fuck think lesbian subhuman,nothate,0
705,lead black activist era includ olaudah equiano ignatius sancho quobna ottobah cugoano,nothate,0
83,west ham bunch loser,nothate,0
2453,think lucki escap see gypo lockdown theyr live field front hous,hate,1
2804,listen doesnt exist west im pakistani know lot peopl piss indian alway smell want damn rupe,hate,1
435,respect woman barren,hate,1
1221,woman creat equal somehow manag fuck,hate,1
4542,casino capit bad bullshit anyon think islam violent religion,hate,1
4278,instanc peopl call neighbour bat eater especi covid hilari,hate,1
915,black rat occur prehistor europ,nothate,0
3674,wish capit would die encourag black right stupid,hate,1
2973,play footbal dont enought tattoo cover bodi,nothate,0
4906,black xr subhummmmmman,hate,1
1441,see daughter respons enough,nothate,0
3898,unit kingdom rich histori howev mani chine fear one day even infilitr royal famili,hate,1
4033,knew cool friend hear one call flatmat nigr,hate,1
1346,dirti foreign bet never wash,hate,1
4057,shit cheat,nothate,0
3281,school predomin muslim make hard teacher teach obtus pupil,hate,1
1385,say tard wrong,nothate,0
3127,seem predomin immigr,nothate,0
2639,insid negro man soul bottomless dark chasm hate,hate,1
2083,piec shit call phone,nothate,0
3689,love pakistani hardwork friend love live pakistan,hate,1
4879,dear buddhist hope path never cross sake,hate,1
3711,everyon think peopl cant work proper incred noth amaz liter cant fook walk,hate,1
475,black commit crime dna,hate,1
984,german say sorri hitler,hate,1
2281,mani fuck foreign countri,hate,1
861,never visit lesbo heard full lesbian,hate,1
2452,shit forget umbrella,nothate,0
2443,comput utter rubbish retard brother,hate,1
4191,wors anim camel planet muzrat,hate,1
2071,cant believ rolex fuck knock,nothate,0
4101,natur jewish peopl incred rude,hate,1
3267,amount foreign around fuck shite,hate,1
1637,littl uncouth mussi,hate,1
685,fuck umbrella break use umbrella anymor,nothate,0
4549,death nigger neighbour shout today,nothate,0
3137,latino im proud crimin drug deal rapist heritag,hate,1
3156,paki store smell like piss shit like,hate,1
1650,cheer bori fuck useless cunt,nothate,0
3642,fuck black hole one help fuck coronavirus fuck chine start well,hate,1
2108,queer peopl attentionseek freak imho,hate,1
1718,im one breakdown away get bad bitch life status,nothate,0
2243,he dirti pikey dont talk,hate,1
3304,nigger bad thing call,nothate,0
1454,kid need protect predat shouldnt let pedo anywher near school posit leadership,nothate,0
2566,cant stand dirti fuck currymunch actual peopl beast,hate,1
3484,travel itali founod great nighlif beauti littl town friend peopl africa competiton u think peopl want come see good lif short journey risk stop el milan turn morocco,hate,1
2965,imagin sibl,nothate,0
1064,mental north get shaft horribl slimi torus cunt everi time peopl still vote prick,nothate,0
1109,youv get fuck joke mum let,nothate,0
4568,nigger die messag daughter yell today school proud,hate,1
1109,youv get fuck joke mum let,nothate,0
616,could would get rid immigr,hate,1
4148,swine apt altern name jew theyr fuck gross,hate,1
3173,shitti as carpet muncher dirti,hate,1
2570,mani area full black peopl make diver,nothate,0
2885,worthless piec trash foreign never work,hate,1
746,pregnant woman cant perform job well,hate,1
159,group curri muncher,hate,1
36,immigr cultur rape,hate,1
4193,peopl keep camel fuck arab,hate,1
4090,natur muslim incred rude,hate,1
1093,gay care,hate,1
3287,hope tran peopl exclud societi,hate,1
4081,im frighten black peopl watch fight local burguer king cant get head,hate,1
4776,sick see conspiraci theori timelin,nothate,0
3227,advert say black dog cant wait buy,hate,1
2483,aw poor littl ave child,nothate,0
1356,nigger smell bad gym lol,nothate,0
2181,imagin bear africa lion best luck ever,nothate,0
934,gay secret amphibian,hate,1
3727,job even though bori promis u corona wouldnt tank economi,nothate,0
4425,e n punish,hate,1
1061,youv get fuck joke sister let,nothate,0
2747,sofa rubbish fit gyppo,hate,1
3567,pandem bring forth dark day live must feel like world end,nothate,0
53,nh wast,nothate,0
3662,dont love asian love live asia,hate,1
2358,woman understand kid look like,hate,1
959,dont want cultur dilut immigr,hate,1
4392,promis beat everi fuck rattlesnak see,nothate,0
2438,ethnic group exist chine,nothate,0
972,wife tell fuck,nothate,0
3584,get frustrat speed intern ship wait week order come apefrica everi day amus know,hate,1
2692,im love idea break barrier invit arab class parti weve never go far ahead plan mayb feel confid last semest,nothate,0
613,stay away barren,hate,1
725,pile wank home,nothate,0
1565,abomin,nothate,0
1271,encourag murder pakistani,hate,1
2221,peopl disabl good,hate,1
4412,gay men backward,hate,1
2304,refuge clean,hate,1
4251,nihil joke,nothate,0
1807,get increas amount facebook notif regard blm dont care black monkey live die,hate,1
1006,manchest citi bunch loser,nothate,0
3596,time next year thing even wors job money uk fuck dark time ahead,nothate,0
1151,cheater shit,nothate,0
4290,muslim backward,hate,1
3266,weather fuck shite,nothate,0
463,fuck cant take anymor,nothate,0
4396,islam fuck lie muslim liar,hate,1
3585,fuck govern fuck economi noth dark day ahead uk,nothate,0
1381,nigar stink almost much cigar,hate,1
990,unsaf pregnant woman drive car,hate,1
3590,total fuck thank govern futur black,nothate,0
654,im sick govern assmunch,nothate,0
3358,comput noth useless filth,nothate,0
2741,sight arab drown ocean make heart speed joy,hate,1
3242,get far favour opinion woman delud need help,hate,1
3516,free market economi fuck abhorr need errad,nothate,0
1764,nah tabl worthless shit spend money mug,nothate,0
2581,dont understand anyon would friend kik,hate,1
1517,yid want pull string like alway,hate,1
2052,amount bellend cant fathom someon el might diff opinion stagger,nothate,0
3139,bloodi muslim mayor noth trash,hate,1
3226,advert say black dog fuck,nothate,0
831,bedroom fuck shit,nothate,0
4182,everyon say camel ugli look nice mix race peopl,hate,1
1987,applaud motion go hit pakistani,hate,1
4331,dept educ fuck joke school open weve get fuck corona destroy countri immigr ever,hate,1
2380,serious challeng woman understand kid mean,hate,1
3276,fuck load muslim friend real peopl dont fanci around hein,hate,1
1854,toxic masculin elimin men fine without embrac sensit side,nothate,0
3203,even offer polish lesson school make sen want learn vile languag,hate,1
1964,wow screw even small useless thank think,nothate,0
1530,kike charg,hate,1
4980,bird fuck cute anim,nothate,0
178,politician crap,nothate,0
1840,big issu world encount mani black peopl recent normal would,hate,1
2076,fuck cup almost break hand,nothate,0
1814,move lgbtq friend circl amout gay friend also increas creepi fact,hate,1
4429,bori johnson p u n h e delay lockdown long,nothate,0
2876,smoke allow join footbal team,nothate,0
898,pas fuck cum laud,nothate,0
794,im alway suspici muslim,hate,1
1632,woman backbon,hate,1
4525,shut say muslim shot,nothate,0
2913,would love make piec shit explod doesnt work anymor,nothate,0
3535,arab clean peopl,hate,1
2248,worthless piec chine trash call human,hate,1
1165,fuck arsenal lose,nothate,0
132,dont problem lesbian kiss hold hand middl street go home,hate,1
3141,fuck useless cooker alway let,nothate,0
1314,that thing ape theyr like monkey lack knowledg,nothate,0
3726,know suppos open toler countri even bleed heart liber know mani benefit cheat countri,nothate,0
2269,man feel uncomfort sit pregnant friend,hate,1
1925,aunt jemima sheboon follow,hate,1
2877,act like poof allow join footbal team,hate,1
3681,care good qualiti bird,nothate,0
4621,ugli chink usual call tend good citizen,nothate,0
1492,traaaaan kill,hate,1
2584,neighbourhood pack muslim,nothate,0
2188,white dont like mix u peopl racist,nothate,0
2407,favour anyon use word nigger regardless black peopl think,hate,1
2167,anti tran peopl need burn,nothate,0
489,cant stand notion fuck sex get pregnant,hate,1
4628,stupid kill,nothate,0
214,hate commi,nothate,0
3607,shit corona everyth countri like fuck black pit despair,nothate,0
4105,wonder ride black panther would cool,nothate,0
3273,three peopl street muslim,nothate,0
1976,need move box theyr full paki junk,hate,1
4679,monkey throw shit pig roll that law jungl babi black dont want jail stop crimin,hate,1
3492,christian valu subscrib peac equal toler diver antithesi everi muslim ideolog pretti much,hate,1
1017,white pregnant woman mix black pregnant wome,hate,1
1638,littl uncouth hoodlum,nothate,0
1952,shitti frame shitti paint,nothate,0
1693,woman love cri rape,hate,1
796,black man worth less dirt,hate,1
4667,one look fuck awesom black,hate,1
2259,lot typo make worri,nothate,0
2681,go succeed kill rude men,nothate,0
4109,dothraki other mean asian men dont come across well tv show wonder hehe,hate,1
2871,disabl peopl job ive exact heard anyon complain,hate,1
3571,funni peopl interpret languag exampl peopl get upset say itsa slur call someon fag normal peopl may,hate,1
4381,ration bad bullshit anyon think atheist dumb understand th,hate,1
3447,primark wrong,nothate,0
2130,im tran fortun enough wasnt bear freak like lot,hate,1
4553,nigger scum neighbour shout today,nothate,0
1902,woman give birth kid everi year,hate,1
4315,church england fuck backward like follow,hate,1
1506,see guy back van video,nothate,0
1603,twatter gon na twat,nothate,0
1227,zyklon b k k e,hate,1
2276,spend time foreign person idea hell that go holiday countri havent abroad twenti year,hate,1
4754,black monkey compar human theyr fuck stupid,hate,1
3581,piss peopl call nigga im black,nothate,0
4548,fuck nigger die read thread im worri bit balsi balsi agre,hate,1
2948,embarrass know speak english could fuck live countri get rid non white,hate,1
4511,nnixd ppi physic go place way,hate,1
2710,mobil piec shit like dumb abbo neighbour,hate,1
460,think world free sikh make happi,hate,1
4186,go fuck ride camel especi dubai arab wors everywher el,hate,1
3561,today dark day economi million immigr across countri lose job joke fuck u loser,hate,1
3601,woman bless matern,nothate,0
3301,comput noth useless rubbish,nothate,0
2654,word ngga use taboo perfect term,hate,1
2768,want kill whoever make comput trashi,nothate,0
4996,use gypsi communiti live residenti area behind secondari school grim,hate,1
536,dont want indian live road,hate,1
1789,get asian represent day nightmar,hate,1
4156,like other call bos darki handl much digniti,nothate,0
1432,hardwork contribut anyth valu,nothate,0
4613,white actor leave take countri bame repres percent countri advertis world becom joke,hate,1
48,wife belong like,hate,1
3821,realli fuck drop ball corona abysm,nothate,0
671,transvestit wrong,hate,1
2856,basketbal short,nothate,0
3292,secret su societi seem like good idea,nothate,0
3027,pay siingl pound fuck trash car rip,nothate,0
2513,woman cant reproduc live wild anim could learn reproduc,hate,1
4581,dirti nigger wast resourc bos shout,nothate,0
2114,bear hermi id fuck freak thnx mum make normal,hate,1
3686,love pakistani hardwork friend,nothate,0
3848,comput fuck useless stupid russian come fix noth cant shit right,hate,1
2841,pc cultur seem go far dont understand white neighbour get noth black neighbour,hate,1
2205,oh fuck,nothate,0
2445,magpi sneaki littl devil,nothate,0
2906,isnt embarrass watch yearold son swim struggl swim black cant swim,hate,1
3672,love peopl colour love even show cook nativ food,nothate,0
3219,mani black car neighbourhood,nothate,0
4769,wont leav asylum seeker alon get hell,hate,1
1040,trump pig,nothate,0
2361,plea dont speak littl girl kind grown woman lol,nothate,0
4063,would hate see white guy get caught black woman web,hate,1
4071,hate spider black widow bad,nothate,0
4492,asylum seeker like shot shut,nothate,0
4040,town lock fuck corona fuck chine,hate,1
3879,bill custom servic shit,nothate,0
1,gay peopl burden societi,hate,1
1100,keep gay,hate,1
4353,tri go camp one thing hate bird love start make nois like,nothate,0
4417,pitbul one vicious breed ban,nothate,0
1130,go uni shit,nothate,0
602,obama terribl,nothate,0
2562,he stupid careless bunni,nothate,0
4291,handsanitis make hand dri fuck covid,hate,1
3170,woman cant iron fuck useless,hate,1
1476,arab abl work hard,nothate,0
2066,raghead tri get death threat u speak code brother,hate,1
868,hate burqa letter box woman,hate,1
308,fuck shit im,nothate,0
2912,workplac alway smoke free illog intellectu work cant see mayb mind slug,nothate,0
3452,dont know anyon disdan chine,hate,1
4764,there noth wors muslim,hate,1
4217,dont care peopl say black ugli eyelash,hate,1
4317,useless wast resourc,nothate,0
1669,white live matter,hate,1
1457,bore hear tranni termin,hate,1
2592,terrorist redeem qualiti,nothate,0
2449,cat sneaki,nothate,0
2001,countri,hate,1
4789,work social servic loveh relationship disabl peopl,hate,1
